advantage_mean,ar_examples,ar_loss,ar_prediction_kl,ar_update_finite,ar_vector_mse,av_loss,av_sft_anchor_loss,av_update_finite,cap_hit_rate,policy_kl_k2,policy_loss,response_tokens_mean,reward_mean,reward_std,score_prediction_kl,score_vector_mse,step,valid_format_rate
-0.0019531408324837685,511,0.983615667152778,6.173955536635188,True,0.9096801326466166,0.19361193058797427,0.9581018090248108,True,0.0,0.000768605035773362,0.0019531385332811624,55.224609375,-0.9848427772521973,0.41634681820869446,6.171808242797852,0.9089797735214233,1,0.998046875
-0.00878927018493414,508,1.176199528176015,6.374319020218737,True,1.0998645542174814,0.18855230239278173,0.8957631289958954,True,0.00390625,0.012208149884827435,0.008789269049884751,54.763671875,-1.1826748847961426,0.47105902433395386,6.364603519439697,1.0976672172546387,2,0.9921875
-0.0019534477032721043,511,1.131444087000509,5.892507707069531,True,1.060879007477583,0.20022269711334958,0.9859650731086731,True,0.0,0.021524753887206316,0.001953444763785228,56.310546875,-1.1335018873214722,0.43460652232170105,5.898580074310303,1.060910940170288,3,0.998046875
-0.006836011074483395,509,1.0359965727933498,5.225703590745307,True,0.9734167237647154,0.1891156901496288,0.9032739400863647,True,0.00390625,0.03249791421694681,0.0068360064760781825,59.21875,-1.04254150390625,0.3626210391521454,5.229711532592773,0.9730777740478516,4,0.994140625
-0.007324172183871269,509,1.0930701543399535,5.478849994644436,True,1.0274587867302134,0.2096230538962118,1.0000746846199036,True,0.005859375,0.04567884688731283,0.007324174337554723,61.6484375,-1.099046230316162,0.4680823087692261,5.494483947753906,1.025923490524292,5,0.994140625
-0.006835892330855131,509,0.9781117870203402,4.934862699864655,True,0.9190148503934938,0.21083120055263865,1.007170408964157,True,0.00390625,0.0512245399877429,0.006835891748778522,63.728515625,-0.9846151471138,0.46509233117103577,4.92495059967041,0.918800950050354,6,0.994140625
-0.007324224337935448,509,1.0429673190201194,5.5798145324167425,True,0.9761468423841511,0.17627135337097571,0.8318585753440857,True,0.005859375,0.05150834529194981,0.007324220932787284,65.318359375,-1.0486338138580322,0.5485848188400269,5.566943168640137,0.9746431112289429,7,0.994140625
-0.011230424046516418,507,0.9663551154691558,4.8792374110551044,True,0.9079243264489859,0.21295540065839308,0.9950311779975891,True,0.005859375,0.054374717525206506,0.011230428994167596,63.744140625,-0.9792564511299133,0.4770525395870209,4.890166759490967,0.9094643592834473,8,0.990234375
-0.017089802771806717,505,0.8615855394023478,4.1669969827821935,True,0.8116841227701397,0.217501535442716,0.9895565807819366,True,0.013671875,0.0500083586666733,0.01708980111288838,63.27734375,-0.8789550065994263,0.3624137043952942,4.162212371826172,0.812021017074585,9,0.986328125
-0.004394554533064365,510,0.9387579181615042,4.7061016849443025,True,0.8824005040467954,0.19145060146329343,0.9236301779747009,True,0.001953125,0.04660022410098463,0.004394554707687348,59.625,-0.9426470398902893,0.3279334604740143,4.702469825744629,0.8819385766983032,10,0.99609375
