eval_cap_hit_rate,eval_delta_cosine,eval_delta_norm_ratio,eval_prediction_kl,eval_selection_loss,eval_total_loss,eval_valid_format_rate,eval_vector_fve,eval_vector_mse,step
0.0,0.6679369211196899,0.7694606781005859,5.632114410400391,0.9468698501586914,0.9468698501586914,1.0,0.12057685852050781,0.8794231414794922,0
0.0,0.7596724629402161,0.7707340121269226,3.22326922416687,0.6841862797737122,0.6841862797737122,1.0,0.35441362857818604,0.645586371421814,250
0.0,0.7858359813690186,0.7721000909805298,2.9225430488586426,0.617641270160675,0.617641270160675,1.0,0.41735732555389404,0.582642674446106,500
0.0,0.7941022515296936,0.7834229469299316,2.7425782680511475,0.5926606059074402,0.5926606059074402,1.0,0.4401828646659851,0.5598171353340149,750
0.001953125,0.8077589869499207,0.8179330825805664,2.5490634441375732,0.5573699474334717,0.5568816661834717,1.0,0.4736443758010864,0.5263556241989136,1000
0.013671875,0.8034720420837402,0.8109549283981323,2.561624765396118,0.5868716835975647,0.5697818398475647,0.986328125,0.4608946442604065,0.5391053557395935,1250
0.130859375,0.791050910949707,0.812111496925354,2.7124719619750977,0.7630168199539185,0.5994426012039185,0.869140625,0.4330402612686157,0.5669597387313843,1500
0.013671875,0.8077014684677124,0.8288196325302124,2.5379977226257324,0.5755031108856201,0.5584132671356201,0.986328125,0.4719802737236023,0.5280197262763977,1750
0.001953125,0.8092490434646606,0.8187738656997681,2.4724771976470947,0.5552244186401367,0.5527830123901367,0.998046875,0.47682589292526245,0.5231741070747375,2000
0.009765625,0.813122034072876,0.8373786211013794,2.430133581161499,0.5572551488876343,0.5450481176376343,0.990234375,0.4840536117553711,0.5159463882446289,2250
0.015625,0.8138093948364258,0.8253445625305176,2.4418609142303467,0.558253288269043,0.538722038269043,0.984375,0.4905202388763428,0.5094797611236572,2500
0.021484375,0.8136556148529053,0.820513129234314,2.4236199855804443,0.5668016076087952,0.5399461388587952,0.978515625,0.48907768726348877,0.5109223127365112,2750
0.01953125,0.8188049793243408,0.8195909261703491,2.3484928607940674,0.5519833564758301,0.5275692939758301,0.98046875,0.5005548596382141,0.4994451403617859,3000
